分类: 📺央视频道, 名称: CCTV-1, 有效: 4, IPv4: 59, IPv6: 0, 最小延迟: 97 ms, 最高速率: 0.75 MiB/s, 平均速率: 0.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-2, 有效: 7, IPv4: 33, IPv6: 0, 最小延迟: 95 ms, 最高速率: 0.89 MiB/s, 平均速率: 0.48 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 8, IPv4: 32, IPv6: 0, 最小延迟: 90 ms, 最高速率: 4.54 MiB/s, 平均速率: 1.03 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 6, IPv4: 21, IPv6: 0, 最小延迟: 90 ms, 最高速率: 2.01 MiB/s, 平均速率: 1.23 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 61 ms, 最高速率: 10.14 MiB/s, 平均速率: 2.31 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 43, IPv6: 0, 最小延迟: 164 ms, 最高速率: 1.59 MiB/s, 平均速率: 0.69 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 有效: 7, IPv4: 34, IPv6: 0, 最小延迟: 90 ms, 最高速率: 2.22 MiB/s, 平均速率: 0.40 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 32, IPv6: 0, 最小延迟: 90 ms, 最高速率: 5.05 MiB/s, 平均速率: 1.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-8, 有效: 5, IPv4: 35, IPv6: 0, 最小延迟: 101 ms, 最高速率: 1.00 MiB/s, 平均速率: 0.64 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-9, 有效: 6, IPv4: 34, IPv6: 0, 最小延迟: 62 ms, 最高速率: 2.78 MiB/s, 平均速率: 0.83 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.5, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-10, 有效: 7, IPv4: 47, IPv6: 0, 最小延迟: 91 ms, 最高速率: 2.29 MiB/s, 平均速率: 1.05 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.29, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-11, 有效: 6, IPv4: 30, IPv6: 0, 最小延迟: 62 ms, 最高速率: 0.87 MiB/s, 平均速率: 0.71 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-12, 有效: 7, IPv4: 33, IPv6: 0, 最小延迟: 134 ms, 最高速率: 0.83 MiB/s, 平均速率: 0.40 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-13, 有效: 4, IPv4: 54, IPv6: 0, 最小延迟: 95 ms, 最高速率: 0.58 MiB/s, 平均速率: 0.40 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-14, 有效: 4, IPv4: 51, IPv6: 0, 最小延迟: 164 ms, 最高速率: 0.71 MiB/s, 平均速率: 0.41 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 35.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-15, 有效: 6, IPv4: 50, IPv6: 0, 最小延迟: 87 ms, 最高速率: 0.69 MiB/s, 平均速率: 0.39 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.5, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-16, 有效: 7, IPv4: 32, IPv6: 0, 最小延迟: 91 ms, 最高速率: 4.67 MiB/s, 平均速率: 0.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-17, 有效: 5, IPv4: 30, IPv6: 0, 最小延迟: 37 ms, 最高速率: 25.25 MiB/s, 平均速率: 10.48 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CETV-1, 有效: 6, IPv4: 34, IPv6: 0, 最小延迟: 46 ms, 最高速率: 5.54 MiB/s, 平均速率: 1.88 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-2, 有效: 0, IPv4: 35, IPv6: 0, 最小延迟: 47 ms, 最高速率: 4.60 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 14, IPv6: 0, 最小延迟: 60 ms, 最高速率: 10.23 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-4, 有效: 1, IPv4: 36, IPv6: 0, 最小延迟: 35 ms, 最高速率: 5.10 MiB/s, 平均速率: 0.47 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视, 有效: 8, IPv4: 30, IPv6: 0, 最小延迟: 90 ms, 最高速率: 4.38 MiB/s, 平均速率: 1.07 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 35.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 13, IPv6: 0, 最小延迟: 45 ms, 最高速率: 2.40 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 19x24, 平均帧率: 25.0, 视频编解码器: rawvideo, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 8, IPv4: 22, IPv6: 0, 最小延迟: 107 ms, 最高速率: 2.61 MiB/s, 平均速率: 0.83 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 7 ms, 最高速率: 7.26 MiB/s, 平均速率: 2.88 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 50.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 8, IPv4: 23, IPv6: 0, 最小延迟: 7 ms, 最高速率: 9.79 MiB/s, 平均速率: 2.04 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.5, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 6, IPv4: 29, IPv6: 0, 最小延迟: 68 ms, 最高速率: 4.50 MiB/s, 平均速率: 1.93 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 62 ms, 最高速率: 4.92 MiB/s, 平均速率: 2.06 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.5, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 6, IPv4: 29, IPv6: 0, 最小延迟: 61 ms, 最高速率: 1.06 MiB/s, 平均速率: 0.59 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.5, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 6, IPv4: 26, IPv6: 0, 最小延迟: 92 ms, 最高速率: 1.45 MiB/s, 平均速率: 0.62 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东方卫视, 有效: 6, IPv4: 28, IPv6: 0, 最小延迟: 90 ms, 最高速率: 3.83 MiB/s, 平均速率: 2.22 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 90 ms, 最高速率: 3.02 MiB/s, 平均速率: 1.04 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 37, IPv6: 0, 最小延迟: 104 ms, 最高速率: 3.85 MiB/s, 平均速率: 1.31 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 63 ms, 最高速率: 5.08 MiB/s, 平均速率: 1.74 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 89 ms, 最高速率: 5.37 MiB/s, 平均速率: 3.27 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 海南卫视, 有效: 4, IPv4: 37, IPv6: 0, 最小延迟: 31 ms, 最高速率: 0.84 MiB/s, 平均速率: 0.52 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河北卫视, 有效: 6, IPv4: 31, IPv6: 0, 最小延迟: 90 ms, 最高速率: 1.51 MiB/s, 平均速率: 0.60 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 有效: 4, IPv4: 51, IPv6: 0, 最小延迟: 72 ms, 最高速率: 0.78 MiB/s, 平均速率: 0.47 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 40, IPv6: 0, 最小延迟: 89 ms, 最高速率: 5.16 MiB/s, 平均速率: 1.29 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 90 ms, 最高速率: 5.01 MiB/s, 平均速率: 3.08 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.5, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 有效: 6, IPv4: 21, IPv6: 0, 最小延迟: 60 ms, 最高速率: 29.88 MiB/s, 平均速率: 6.92 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 6, IPv4: 21, IPv6: 0, 最小延迟: 60 ms, 最高速率: 5.36 MiB/s, 平均速率: 3.36 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 6, IPv4: 15, IPv6: 0, 最小延迟: 61 ms, 最高速率: 31.36 MiB/s, 平均速率: 10.86 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 4, IPv4: 36, IPv6: 0, 最小延迟: 89 ms, 最高速率: 26.11 MiB/s, 平均速率: 7.97 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 3, IPv4: 38, IPv6: 0, 最小延迟: 106 ms, 最高速率: 4.79 MiB/s, 平均速率: 2.57 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.5, 视频编解码器: h264, 音频编解码器: ac3
分类: 📡卫视频道, 名称: 山东卫视, 有效: 6, IPv4: 20, IPv6: 0, 最小延迟: 90 ms, 最高速率: 1.37 MiB/s, 平均速率: 0.70 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山西卫视, 有效: 6, IPv4: 30, IPv6: 0, 最小延迟: 60 ms, 最高速率: 35.24 MiB/s, 平均速率: 11.43 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 40, IPv6: 0, 最小延迟: 90 ms, 最高速率: 27.66 MiB/s, 平均速率: 6.65 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 四川卫视, 有效: 7, IPv4: 14, IPv6: 0, 最小延迟: 69 ms, 最高速率: 35.23 MiB/s, 平均速率: 9.18 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 24, IPv6: 0, 最小延迟: 49 ms, 最高速率: 4.20 MiB/s, 平均速率: 2.31 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 50.0, 视频编解码器: h264, 音频编解码器: ac3
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 0, IPv4: 26, IPv6: 0, 最小延迟: 61 ms, 最高速率: 0.37 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 天津卫视, 有效: 8, IPv4: 23, IPv6: 0, 最小延迟: 79 ms, 最高速率: 0.76 MiB/s, 平均速率: 0.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
